* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2022-12-02 15:11:06 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\Acer_12.01_plate8.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2022-12-01 16:01:20 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	NOAMP	THOLDFAIL	MTP	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
41	D5	false	46	Cam	UNKNOWN	SYBR	None	25.327	25.037	0.410								true	0.040	true	3	22	Amp		0.835	N	N	Y	N	N	N	74.527			
42	D6	false	46	Cam	UNKNOWN	SYBR	None	24.747	25.037	0.410								true	0.040	true	3	22	Amp		0.875	N	N	Y	N	N	N	74.527			
43	D7	false	46	Sym	UNKNOWN	SYBR	None	23.927	23.989	0.087								true	0.185	true	3	18	Amp		0.955	N	N	N	N	N	N	87.411			
44	D8	false	46	Sym	UNKNOWN	SYBR	None	24.050	23.989	0.087								true	0.185	true	3	19	Amp		0.958	N	N	N	N	N	N	87.411			
45	D9	false	167	Cam	UNKNOWN	SYBR	None	23.031	22.638	0.556								true	0.040	true	3	20	Amp		0.914	Y	N	Y	N	N	N	74.544			
46	D10	false	167	Cam	UNKNOWN	SYBR	None	22.245	22.638	0.556								true	0.040	true	3	19	Amp		0.930	Y	N	Y	N	N	N	74.544			
47	D11	false	167	Sym	UNKNOWN	SYBR	None	24.293	24.218	0.106								true	0.185	true	3	19	Amp		0.950	N	N	N	N	N	N	87.264			
48	D12	false	167	Sym	UNKNOWN	SYBR	None	24.142	24.218	0.106								true	0.185	true	3	19	Amp		0.964	N	N	N	N	N	N	87.414			
49	E1	false	23	Cam	UNKNOWN	SYBR	None	25.343	26.145	1.134								true	0.040	true	3	22	Amp		0.931	Y	N	Y	N	N	N	74.528			
50	E2	false	23	Cam	UNKNOWN	SYBR	None	26.948	26.145	1.134								true	0.040	true	3	24	Amp		0.652	Y	N	Y	N	Y	N	74.528			
51	E3	false	23	Sym	UNKNOWN	SYBR	None	23.963	23.983	0.029								true	0.185	true	3	19	Amp		0.959	N	N	N	N	N	N	87.432			
52	E4	false	23	Sym	UNKNOWN	SYBR	None	24.004	23.983	0.029								true	0.185	true	3	19	Amp		0.959	N	N	N	N	N	N	87.432			
53	E5	false	51	Cam	UNKNOWN	SYBR	None	27.026	27.357	0.467								true	0.040	true	3	24	Amp		0.625	N	N	Y	N	Y	N	74.527			
