* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2022-12-08 13:00:09 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\acer_12.06.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2022-12-06 15:58:26 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	NOAMP	BADROX	PRFLOW	MTP	NOISE	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
71	F11	false	128	Sym	UNKNOWN	SYBR	None	24.585	24.546	0.054								true	0.135	true	3	20	Amp		0.935	N	N	N	N	N	N	N	N	87.791			
72	F12	false	128	Sym	UNKNOWN	SYBR	None	24.508	24.546	0.054								true	0.135	true	3	20	Amp		0.921	N	N	N	N	N	N	N	N	87.791			
73	G1	false	70	Cam	UNKNOWN	SYBR	None	23.115	23.197	0.116								true	0.144	true	3	18	Amp		0.917	N	N	N	N	N	N	N	N	74.888			
74	G2	false	70	Cam	UNKNOWN	SYBR	None	23.278	23.197	0.116								true	0.144	true	3	18	Amp		0.929	N	N	N	N	N	N	N	N	74.888			
75	G3	false	70	Sym	UNKNOWN	SYBR	None	21.278	21.457	0.254								true	0.135	true	3	16	Amp		0.946	N	N	N	N	N	N	N	N	87.831			
76	G4	false	70	Sym	UNKNOWN	SYBR	None	21.637	21.457	0.254								true	0.135	true	3	16	Amp		0.947	N	N	N	N	N	N	N	N	87.831			
77	G5	false	80	Cam	UNKNOWN	SYBR	None	23.788	23.959	0.242								true	0.144	true	3	19	Amp		0.895	N	N	N	N	N	N	N	N	75.037			
78	G6	false	80	Cam	UNKNOWN	SYBR	None	24.130	23.959	0.242								true	0.144	true	3	19	Amp		0.912	N	N	N	N	N	N	N	N	74.884			
79	G7	false	80	Sym	UNKNOWN	SYBR	None	22.433	22.433									true	0.135	true	3	18	Amp		0.935	N	N	N	N	N	N	N	N	87.787			
80	G8	false	80	Sym	UNKNOWN	SYBR	None	Undetermined	22.433									true	0.135	true	3	29	No Amp		0.000	N	N	N	Y	N	Y	Y	Y	60.000			
81	G9	false	pos	Cam	UNKNOWN	SYBR	None	Undetermined	9.177									true	0.144	true	3	29	No Amp		0.000	N	N	N	Y	N	Y	Y	Y	60.000			
82	G10	false	pos	Cam	UNKNOWN	SYBR	None	9.177	9.177									true	0.144	true	3	5	Amp		0.951	N	N	N	N	N	N	N	N	75.230			
83	G11	false	pos	Sym	UNKNOWN	SYBR	None	23.488	22.623	1.223								true	0.135	true	3	19	Amp		0.961	Y	N	N	N	Y	N	N	N	87.791	77.196		
84	G12	false	pos	Sym	UNKNOWN	SYBR	None	21.758	22.623	1.223								true	0.135	true	3	17	Amp		0.949	Y	N	N	N	Y	N	N	N	87.637	77.350		
85	H1	false	73	Cam	UNKNOWN	SYBR	None	26.398	26.219	0.253								true	0.144	true	3	21	Amp		0.851	N	N	N	N	N	N	N	N	74.734			
86	H2	false	73	Cam	UNKNOWN	SYBR	None	26.040	26.219	0.253								true	0.144	true	3	22	Amp		0.903	N	N	N	N	N	N	N	N	74.734			
87	H3	false	73	Sym	UNKNOWN	SYBR	None	23.567	23.483	0.120								true	0.135	true	3	20	Amp		0.953	N	N	N	N	N	N	N	N	87.985			
88	H4	false	73	Sym	UNKNOWN	SYBR	None	23.398	23.483	0.120								true	0.135	true	3	19	Amp		0.953	N	N	N	N	N	N	N	N	87.985			
89	H5	false	119	Cam	UNKNOWN	SYBR	None	24.985	24.728	0.363								true	0.144	true	3	20	Amp		0.900	N	N	N	N	N	N	N	N	74.884			
90	H6	false	119	Cam	UNKNOWN	SYBR	None	24.471	24.728	0.363								true	0.144	true	3	20	Amp		0.908	N	N	N	N	N	N	N	N	74.884			
91	H7	false	119	Sym	UNKNOWN	SYBR	None	23.253	23.253									true	0.135	true	3	19	Amp		0.965	N	N	N	N	N	N	N	N	87.941			
92	H8	false	119	Sym	UNKNOWN	SYBR	None	Undetermined	23.253									true	0.135	true	3	29	No Amp		0.000	N	N	Y	Y	N	N	Y	Y	66.448			
93	H9	false	neg	Cam	UNKNOWN	SYBR	None	Undetermined										true	0.144	true	3	29	No Amp		0.000	N	Y	N	N	N	N	Y	Y	63.538			
94	H10	false	neg	Cam	UNKNOWN	SYBR	None	Undetermined										true	0.144	true	3	29	No Amp		0.000	N	N	N	N	N	N	Y	Y	63.231			
95	H11	false	neg	Sym	UNKNOWN	SYBR	None	Undetermined										true	0.135	true	3	24	No Amp		0.000	N	N	N	N	N	N	Y	N	60.000			
96	H12	false	neg	Sym	UNKNOWN	SYBR	None	Undetermined										true	0.135	true	3	29	No Amp		0.000	N	N	N	N	N	N	Y	Y	60.000			
