* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2023-01-26 12:51:03 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\Downloads\acer_20230125.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2023-01-25 12:30:59 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	PRFLOW	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
61	F1	false	246	CAM	UNKNOWN	SYBR	None	23.470	23.468	0.003								false	0.020	true	3	20	Amp		0.710	N	N	Y	N	75.052			
62	F2	false	246	CAM	UNKNOWN	SYBR	None	23.466	23.468	0.003								false	0.020	true	3	22	Amp		0.697	N	N	Y	N	75.052			
63	F3	false	246	SYM	UNKNOWN	SYBR	None	19.606	19.655	0.069								false	0.020	true	3	18	Amp		0.577	N	N	Y	N	87.587			
64	F4	false	246	SYM	UNKNOWN	SYBR	None	19.704	19.655	0.069								false	0.020	true	3	18	Amp		0.529	N	N	Y	N	87.587			
65	F5	false	262	CAM	UNKNOWN	SYBR	None	24.073	23.818	0.360								false	0.020	true	3	22	Amp		0.734	N	N	Y	N	75.200			
66	F6	false	262	CAM	UNKNOWN	SYBR	None	23.563	23.818	0.360								false	0.020	true	3	21	Amp		0.578	N	N	Y	N	75.048			
67	F7	false	262	SYM	UNKNOWN	SYBR	None	19.362	19.220	0.201								false	0.020	true	3	18	Amp		0.549	N	N	Y	N	87.684			
68	F8	false	262	SYM	UNKNOWN	SYBR	None	19.078	19.220	0.201								false	0.020	true	3	17	Amp		0.573	N	N	Y	N	87.532			
69	F9	false	233	CAM	UNKNOWN	SYBR	None	22.617	22.492	0.176								false	0.020	true	3	21	Amp		0.742	N	N	Y	N	75.096			
70	F10	false	233	CAM	UNKNOWN	SYBR	None	22.368	22.492	0.176								false	0.020	true	3	20	Amp		0.728	N	N	Y	N	75.096			
71	F11	false	233	SYM	UNKNOWN	SYBR	None	18.904	18.627	0.391								false	0.020	true	3	17	Amp		0.542	N	N	Y	N	87.543			
72	F12	false	233	SYM	UNKNOWN	SYBR	None	18.351	18.627	0.391								false	0.020	true	3	17	Amp		0.540	N	N	Y	N	87.543			
73	G1	false	237	CAM	UNKNOWN	SYBR	None	21.828	22.169	0.483								false	0.020	true	3	18	Amp		0.630	N	N	Y	N	75.052			
74	G2	false	237	CAM	UNKNOWN	SYBR	None	22.511	22.169	0.483								false	0.020	true	3	20	Amp		0.769	N	N	Y	N	75.052			
75	G3	false	237	SYM	UNKNOWN	SYBR	None	19.787	19.850	0.089								false	0.020	true	3	17	Amp		0.453	N	N	Y	N	87.587			
76	G4	false	237	SYM	UNKNOWN	SYBR	None	19.913	19.850	0.089								false	0.020	true	3	18	Amp		0.511	N	N	Y	N	87.587			
77	G5	false	241	CAM	UNKNOWN	SYBR	None	19.653	19.540	0.161								false	0.020	true	3	18	Amp		0.710	N	N	Y	N	75.200			
78	G6	false	241	CAM	UNKNOWN	SYBR	None	19.426	19.540	0.161								false	0.020	true	3	17	Amp		0.632	N	N	Y	N	75.200			
79	G7	false	241	SYM	UNKNOWN	SYBR	None	18.262	18.445	0.260								false	0.020	true	3	16	Amp		0.474	N	N	Y	N	87.684			
80	G8	false	241	SYM	UNKNOWN	SYBR	None	18.629	18.445	0.260								false	0.020	true	3	16	Amp		0.577	N	N	Y	N	87.684			
81	G9	false	pos	CAM	UNKNOWN	SYBR	None	26.557	27.004	0.632								false	0.020	true	3	25	Amp		0.636	Y	N	Y	N	75.096			
82	G10	false	pos	CAM	UNKNOWN	SYBR	None	27.452	27.004	0.632								false	0.020	true	3	24	Amp		0.760	Y	N	Y	N	74.944			
83	G11	false	pos	SYM	UNKNOWN	SYBR	None	20.519	20.385	0.190								false	0.020	true	3	18	Amp		0.455	N	N	Y	N	87.391			
84	G12	false	pos	SYM	UNKNOWN	SYBR	None	20.251	20.385	0.190								false	0.020	true	3	18	Amp		0.612	N	N	Y	N	87.391			
85	H1	false	133	CAM	UNKNOWN	SYBR	None	22.022	22.204	0.258								false	0.020	true	3	19	Amp		0.503	N	N	Y	N	75.052			
86	H2	false	133	CAM	UNKNOWN	SYBR	None	22.387	22.204	0.258								false	0.020	true	3	19	Amp		0.666	N	N	Y	N	74.900			
87	H3	false	133	SYM	UNKNOWN	SYBR	None	20.879	20.914	0.048								false	0.020	true	3	19	Amp		0.499	N	N	Y	N	87.739			
88	H4	false	133	SYM	UNKNOWN	SYBR	None	20.948	20.914	0.048								false	0.020	true	3	19	Amp		0.533	N	N	Y	N	87.739			
89	H5	false	229	CAM	UNKNOWN	SYBR	None	23.574	23.700	0.179								false	0.020	true	3	21	Amp		0.688	N	N	Y	N	75.048			
90	H6	false	229	CAM	UNKNOWN	SYBR	None	23.827	23.700	0.179								false	0.020	true	3	22	Amp		0.622	N	N	Y	N	75.048			
91	H7	false	229	SYM	UNKNOWN	SYBR	None	19.613	19.674	0.087								false	0.020	true	3	18	Amp		0.507	N	N	Y	N	87.684			
92	H8	false	229	SYM	UNKNOWN	SYBR	None	19.735	19.674	0.087								false	0.020	true	3	18	Amp		0.599	N	N	Y	N	87.684			
93	H9	false	neg	CAM	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	39	No Amp		0.000	N	N	Y	Y	59.994			
94	H10	false	neg	CAM	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	39	No Amp		0.000	N	N	Y	Y	60.452			
95	H11	false	neg	SYM	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	20	No Amp		0.000	N	N	Y	N	61.060			
96	H12	false	neg	SYM	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	26	No Amp		0.000	N	N	Y	N	61.517			
