* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = SYBR_GREEN
* Date Created = 2023-01-26 13:13:28 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\Acropora22_proj\failed_plate\Acer_20221221-1.eds
* Experiment Name = Quantification-SYBR_with_Melt
* Experiment Run End Time = 2022-12-21 12:58:46 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	PRFLOW	MTP	CQCONF	EXPFAIL	Tm1	Tm2	Tm3	Tm4
82	G10	false	positive	CAM	UNKNOWN	SYBR	None	19.773	19.557	0.306								false	0.020	true	3	18	Amp		0.720	N	N	N	Y	N	75.256			
83	G11	false	positive	SYM	UNKNOWN	SYBR	None	17.909	20.568	3.761								false	0.020	true	3	16	Amp		0.500	Y	N	Y	Y	N	87.266	77.516		
84	G12	false	positive	SYM	UNKNOWN	SYBR	None	23.227	20.568	3.761								false	0.020	true	3	21	Amp		0.696	Y	N	N	Y	N	77.668			
85	H1	false	152	CAM	UNKNOWN	SYBR	None	21.628	21.906	0.393								false	0.020	true	3	19	Amp		0.724	N	N	N	Y	N	74.916			
86	H2	false	152	CAM	UNKNOWN	SYBR	None	22.184	21.906	0.393								false	0.020	true	3	19	Amp		0.879	N	N	N	N	N	74.916			
87	H3	false	152	SYM	UNKNOWN	SYBR	None	21.229	21.210	0.028								false	0.020	true	3	19	Amp		0.560	N	N	N	Y	N	87.761			
88	H4	false	152	SYM	UNKNOWN	SYBR	None	21.190	21.210	0.028								false	0.020	true	3	19	Amp		0.589	N	N	N	Y	N	87.609			
89	H5	false	235	CAM	UNKNOWN	SYBR	None	23.367	23.333	0.048								false	0.020	true	3	21	Amp		0.805	N	N	N	N	N	75.067			
90	H6	false	235	CAM	UNKNOWN	SYBR	None	23.300	23.333	0.048								false	0.020	true	3	21	Amp		0.732	N	N	N	Y	N	75.067			
93	H9	false	negative	CAM	UNKNOWN	SYBR	None	27.101	27.023	0.111								false	0.020	true	3	26	Amp		0.728	N	N	N	Y	N	74.951			
94	H10	false	negative	CAM	UNKNOWN	SYBR	None	26.944	27.023	0.111								false	0.020	true	3	25	Amp		0.687	N	N	N	Y	N	74.951			
95	H11	false	negative	SYM	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	39	No Amp		0.000	N	N	N	Y	Y	60.300			
96	H12	false	negative	SYM	UNKNOWN	SYBR	None	Undetermined										false	0.020	true	3	39	No Amp		0.000	N	N	N	Y	Y	63.195			
