* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 02-23-2023
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 02-23-2023
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 02-23-2023
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 02-23-2023
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 02-23-2023
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 02-23-2023
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 02-23-2023
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 02-23-2023
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 02-23-2023
* Calibration ROI is expired  = No
* Calibration ROI performed on = 02-23-2023
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 02-23-2023
* Chemistry = TAQMAN
* Date Created = 2023-03-08 14:18:36 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\bcorbett\OneDrive - Shedd Aquarium Society\sm_20230308.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2023-03-08 12:47:39 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	NOAMP	EXPFAIL	HIGHSD
27	C3	false	33	C	UNKNOWN	VIC	NFQ-MGB	39.175	39.175									false	0.020	true	3	35	Inconclusive		N	N	N
27	C3	false	33	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
28	C4	false	33	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.175									false	0.020	true	3	39	No Amp		Y	Y	N
28	C4	false	33	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
29	C5	false	41	C	UNKNOWN	VIC	NFQ-MGB	33.225	33.348	0.173								false	0.020	true	3	31	Amp		N	N	N
29	C5	false	41	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
30	C6	false	41	C	UNKNOWN	VIC	NFQ-MGB	33.470	33.348	0.173								false	0.020	true	3	31	Amp		N	N	N
30	C6	false	41	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
31	C7	false	57	C	UNKNOWN	VIC	NFQ-MGB	32.429	33.167	1.044								false	0.020	true	3	30	Amp		N	N	Y
31	C7	false	57	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
32	C8	false	57	C	UNKNOWN	VIC	NFQ-MGB	33.905	33.167	1.044								false	0.020	true	3	32	Amp		N	N	Y
32	C8	false	57	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		N	Y	N
33	C9	false	65	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		Y	Y	N
33	C9	false	65	D	UNKNOWN	FAM	NFQ-MGB	35.326	35.326									false	0.020	true	3	33	Inconclusive		N	N	N
34	C10	false	65	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.020	true	3	39	No Amp		Y	Y	N
34	C10	false	65	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	35.326									false	0.020	true	3	39	No Amp		N	Y	N
35	C11	false	73	C	UNKNOWN	VIC	NFQ-MGB	33.595	33.782	0.264								false	0.020	true	3	32	Amp		N	N	N
35	C11	false	73	D	UNKNOWN	FAM	NFQ-MGB	33.646	33.646									false	0.020	true	3	32	Amp		N	N	N
